# NCBI_GENE_ID	XB_GENE_ID	GENE_SYMBOL	GENE_NAME
GeneID:100036811	XB-GENE-5738921	ttc7b.L	tetratricopeptide repeat domain 7B L homeolog
GeneID:100036812	XB-GENE-1002192	utp25.S	UTP25, small subunit processor component S homeolog
GeneID:100036814	XB-GENE-981686	tbc1d24.1.L	TBC1 domain family member 24
GeneID:100036815	XB-GENE-6256174	cxcl8.L	uncharacterized protein LOC100036815 precursor
GeneID:100036816	XB-GENE-5959731	mrpl38.L	mitochondrial ribosomal protein L38 L homeolog
GeneID:100036817	XB-GENE-992523	cytl1.L	cytokine like 1 L homeolog precursor
GeneID:100036818	NA	LOC100036818	uncharacterized protein LOC100036818
GeneID:100036819	XB-GENE-5810077	sgf29.S	SAGA-associated factor 29
GeneID:100036820	XB-GENE-17342209	pvalb.L	uncharacterized protein LOC100036820
GeneID:100036821	XB-GENE-6256171	dbi.L	diazepam binding inhibitor
GeneID:100036822	XB-GENE-6256170	timm8b.S	translocase of inner mitochondrial membrane 8 homolog B S homeolog
GeneID:100036823	NA	LOC100036823	uncharacterized protein LOC100036823
GeneID:100036824	XB-GENE-22065769	ocm4.6.S	uncharacterized protein LOC100036824
GeneID:100036825	XB-GENE-17339795	rgs1.L	regulator of G-protein signaling 1
GeneID:100036826	XB-GENE-17343276	vat1.S	uncharacterized protein LOC100036826
GeneID:100036827	XB-GENE-17346003	ndfip1.S	Nedd4 family interacting protein 1 S homeolog
GeneID:100036828	NA	LOC100036828	uncharacterized protein LOC100036828
GeneID:100036829	XB-GENE-17333616	gip.S	gastric inhibitory polypeptide S homeolog precursor
GeneID:100036830	XB-GENE-864946	admp2.L	antidorsalizing morphogenetic protein 2 L homeolog precursor
GeneID:100036831	NA	LOC100036831	actin-related protein 2/3 complex subunit 3-A
GeneID:100036832	XB-GENE-865182	rasl10b.L	RAS like family 10 member B L homeolog
GeneID:100036833	XB-GENE-1221188	mks1.L	Meckel syndrome type 1 protein
GeneID:100036834	XB-GENE-947285	eif2d.S	eukaryotic translation initiation factor 2D S homeolog
GeneID:100036835	XB-GENE-1002939	dcaf5.L	DDB1 and CUL4 associated factor 5 L homeolog
GeneID:100036836	XB-GENE-5880791	gse1.S	uncharacterized protein LOC100036836
GeneID:100036837	XB-GENE-5957156	fgl1b.L	uncharacterized protein LOC100036837
GeneID:100036838	XB-GENE-866175	brd3.S	bromodomain containing 3 S homeolog
GeneID:100036839	XB-GENE-919911	rere.S	arginine-glutamic acid dipeptide repeats S homeolog
GeneID:100036840	XB-GENE-865237	csnk1g3.L	casein kinase 1 gamma 3 L homeolog
GeneID:100036841	XB-GENE-6078396	pip4k2b.S	phosphatidylinositol-5-phosphate 4-kinase, type II, beta S homeolog
GeneID:100036842	XB-GENE-5884063	tdrd5.L	tudor domain-containing protein 5
GeneID:100036843	XB-GENE-865461	gpank1.L	G-patch domain and ankyrin repeats 1 L homeolog
GeneID:100036844	XB-GENE-865366	sin3b.S	SIN3 transcription regulator family member B S homeolog
GeneID:100036845	NA	LOC100036845	uncharacterized protein LOC100036845 precursor
GeneID:100036846	XB-GENE-5817417	hk2.L	hexokinase 2 L homeolog
GeneID:100036847	XB-GENE-5892338	kiz.S	centrosomal protein kizuna
GeneID:100036848	XB-GENE-5751847	mob2.2.S	Mps one binder kinase activator-like 2, gene 2 S homeolog
GeneID:100036849	XB-GENE-984903	ap1b1.S	adaptor related protein complex 1 subunit beta 1 S homeolog
GeneID:100036850	XB-GENE-5784244	mfap3.S	microfibril associated protein 3 S homeolog precursor
GeneID:100036851	XB-GENE-17334700	pan2.L	uncharacterized protein LOC100036851
GeneID:100036852	XB-GENE-865484	e2f1.L	E2F transcription factor 1 L homeolog
GeneID:100036853	XB-GENE-17342450	rpa2.S	replication protein A 32 kDa subunit-B
GeneID:100036855	XB-GENE-6256159	chtf8.L	chromosome transmission fidelity factor 8 L homeolog
GeneID:100036856	XB-GENE-5825429	btn2a2.L	butyrophilin subfamily 2 member A2 L homeolog precursor
GeneID:100036857	XB-GENE-999362	lman2l.S	VIP36-like protein
GeneID:100036858	XB-GENE-866623	macroh2a1.L	macroH2A.1 histoneL homeolog
GeneID:100036859	XB-GENE-17343783	birc2.S	uncharacterized protein LOC100036859
GeneID:100036860	XB-GENE-17344378	nek6.L	uncharacterized protein LOC100036860
GeneID:100036861	XB-GENE-5827050	tmem214.S	transmembrane protein 214-B
GeneID:100036862	XB-GENE-866577	hdhd5.L	uncharacterized protein LOC100036862
GeneID:100036863	XB-GENE-866377	rassf1.L	Ras association domain family member 1 L homeolog
GeneID:100036864	XB-GENE-17346366	lysmd1.L	uncharacterized protein LOC100036864
GeneID:100036865	XB-GENE-5721646	XB5721641.L	uncharacterized protein LOC100036865
GeneID:100036866	XB-GENE-6256155	dnase1l1.S	deoxyribonuclease I-like 1 S homeolog precursor
GeneID:100036867	XB-GENE-6256154	aven.L	apoptosis, caspase activation inhibitor L homeolog
GeneID:100036868	XB-GENE-962294	nop2.L	probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase
GeneID:100036869	XB-GENE-17343935	vps37a.S	uncharacterized protein LOC100036869
GeneID:100036870	XB-GENE-5962687	XB5962685.L	uncharacterized protein LOC100036870
GeneID:100036871	XB-GENE-6078852	metrnl.L	meteorin-like protein precursor
GeneID:100036872	XB-GENE-17341394	was.S	uncharacterized protein LOC100036872
GeneID:100036873	XB-GENE-941882	ergic3.S	ERGIC and golgi 3 S homeolog
GeneID:100036874	XB-GENE-17337587	bhlhe40.S	class E basic helix-loop-helix protein 40
GeneID:100036875	XB-GENE-6256150	rbm42.L	RNA binding motif protein 42 L homeolog
GeneID:100036876	XB-GENE-6465965	XB5810926.L	uncharacterized protein LOC100036876
GeneID:100036878	XB-GENE-17341564	nudcd3.S	uncharacterized protein LOC100036878
GeneID:100036879	XB-GENE-17334118	egln3.S	uncharacterized protein LOC100036879
GeneID:100036880	XB-GENE-6256146	XB5965330.L	uncharacterized protein LOC100036880
GeneID:100036882	XB-GENE-17340490	yipf3.S	uncharacterized protein LOC100036882
GeneID:100036883	XB-GENE-5822423	krt20.L	uncharacterized protein LOC100036883
GeneID:100036884	XB-GENE-985817	ptcd2.L	pentatricopeptide repeat-containing protein 2, mitochondrial
GeneID:100036885	XB-GENE-866568	alpi.1.L	alkaline phosphatase, intestinal, gene 1 L homeolog precursor
GeneID:100036886	XB-GENE-22167221	eci3.L	enoyl-CoA delta isomerase 2
GeneID:100036887	XB-GENE-6077473	ppp1r2.L	protein phosphatase 1 regulatory inhibitor subunit 2 L homeolog
GeneID:100036888	XB-GENE-6256143	sgpp2.L	sphingosine-1-phosphate phosphatase 2 L homeolog
GeneID:100036889	XB-GENE-996170	slc66a1.L	solute carrier family 66 member 1 L homeolog
GeneID:100036890	XB-GENE-866576	rtn4ip1.L	reticulon 4 interacting protein 1 L homeolog
GeneID:100036892	XB-GENE-991900	abcg2.L	ATP binding cassette subfamily G member 2 (Junior blood group) L homeolog
GeneID:100036893	XB-GENE-5899950	XB5899916.L	transmembrane 4 L6 family member 5
GeneID:100036894	XB-GENE-5730735	tmem45b.L	transmembrane protein 45B L homeolog
GeneID:100036895	NA	LOC100036895	uncharacterized protein LOC100036895 precursor
GeneID:100036896	XB-GENE-951880	sec14l3.L	SEC14-like lipid binding 3 L homeolog
GeneID:100036897	XB-GENE-22064146	sult6b1l.L	uncharacterized protein LOC100036897
GeneID:100036898	XB-GENE-1014034	arsa.2.L	LOW QUALITY PROTEIN: arylsulfatase A
GeneID:100036899	XB-GENE-5805920	sult2b1.L	sulfotransferase family 2B member 1 L homeolog
GeneID:100036900	NA	LOC100036900	pancreatic lipase precursor
GeneID:100036901	XB-GENE-945956	cd38.L	CD38 molecule L homeolog
GeneID:100036903	XB-GENE-5831742	naaladl1.L	aminopeptidase NAALADL1
GeneID:100036904	XB-GENE-17342507	nelfe.S	uncharacterized protein LOC100036904
GeneID:100036905	XB-GENE-958633	tmf1.L	TATA element modulatory factor 1 L homeolog
GeneID:100036906	XB-GENE-969269	sec23ip.S	SEC23 interacting protein S homeolog
GeneID:100036907	XB-GENE-5796363	XB5796356.S	scavenger receptor cysteine-rich domain-containing group B protein
GeneID:100036908	XB-GENE-6255874	smim12.S	small integral membrane protein 12-A
GeneID:100036909	XB-GENE-6255873	slc49a3.S	major facilitator superfamily domain containing protein 7
GeneID:100036910	XB-GENE-17335907	casp3.2.L	uncharacterized protein LOC100036910
GeneID:100036911	XB-GENE-865180	hoxd3.L	homeobox protein Hox-D3
GeneID:100036912	XB-GENE-6255871	ednra.S	endothelin receptor type A S homeolog precursor
GeneID:100036913	XB-GENE-6255870	tsfm.L	elongation factor Ts, mitochondrial
GeneID:100036914	XB-GENE-22169826	crisp1.10.L	cysteine-rich venom protein tigrin, partial
GeneID:100036915	XB-GENE-17346728	slc35b1.S	solute carrier family 35 member B1
GeneID:100036916	XB-GENE-5920016	ptx3.L	pentraxin 3 L homeolog precursor
GeneID:100036917	XB-GENE-5953419	ap1ar.S	adaptor related protein complex 1 associated regulatory protein S homeolog
GeneID:100036918	NA	LOC100036918	uncharacterized protein LOC100036918
GeneID:100036919	XB-GENE-865711	c6orf136.L	chromosome 6 open reading frame 136 L homeolog
GeneID:100036920	XB-GENE-6255866	gpx4.L	glutathione peroxidase 4 L homeolog
GeneID:100036921	XB-GENE-966113	gsta1.L	glutathione S-transferase alpha 1 L homeolog
GeneID:100036922	XB-GENE-6255865	pycr3.L	pyrroline-5-carboxylate reductase 3
GeneID:100036923	XB-GENE-983957	gemin8.S	gem nuclear organelle associated protein 8 S homeolog
GeneID:100036924	XB-GENE-948665	ldhd.L	probable D-lactate dehydrogenase, mitochondrial
GeneID:100036925	XB-GENE-5727048	cdk10.L	cyclin-dependent kinase 10 L homeolog
GeneID:100036926	XB-GENE-6255864	ank1.S	ankyrin 1 S homeolog
GeneID:100036927	XB-GENE-946946	phlda1.L	pleckstrin homology-like domain, family A, member 1 L homeolog
GeneID:100036928	XB-GENE-6079069	rab7b.S	RAB7B, member RAS oncogene family S homeolog
GeneID:100036929	XB-GENE-6087251	trim55.L	uncharacterized protein LOC100036929
GeneID:100036930	XB-GENE-5858597	tmem120a.L	ion channel TACAN
GeneID:100036931	XB-GENE-6255863	sds.S	serine dehydratase S homeolog
GeneID:100036932	XB-GENE-5872962	MGC147475.S	uncharacterized protein LOC100036932
GeneID:100036933	XB-GENE-17333141	rflnb.S	uncharacterized protein LOC100036933
GeneID:100036934	XB-GENE-952366	itgb1bp2.L	integrin subunit beta 1 binding protein 2 L homeolog
GeneID:100036935	XB-GENE-997530	cacng1.L	calcium channel, voltage-dependent, gamma subunit 1 L homeolog
GeneID:100036937	XB-GENE-865754	lfng.L	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase L homeolog
GeneID:100036938	XB-GENE-17340626	trim63.L	uncharacterized protein LOC100036938
GeneID:100036939	XB-GENE-991969	zfpl1.L	zinc finger protein-like 1
GeneID:100036940	XB-GENE-17346563	anxa11.L	uncharacterized protein LOC100036940
GeneID:100036941	XB-GENE-1001029	galm.L	galactose mutarotase (aldose 1-epimerase) L homeolog
GeneID:100036942	XB-GENE-17334667	sds.L	uncharacterized protein LOC100036942
GeneID:100036943	XB-GENE-490059	tuba8.S	tubulin alpha 8 S homeolog
GeneID:100036944	XB-GENE-6488853	krt62.S	keratin 62
GeneID:100036945	XB-GENE-17343998	dnajb11.L	uncharacterized protein LOC100036945
GeneID:100036946	XB-GENE-959916	plekhf2.L	pleckstrin homology and FYVE domain containing 2 L homeolog
GeneID:100036947	XB-GENE-6255854	zcchc7.L	zinc finger CCHC domain-containing protein 7
GeneID:100036948	XB-GENE-1016154	champ1.S	chromosome alignment maintaining phosphoprotein 1 S homeolog
GeneID:100036949	XB-GENE-5820439	ctsh.L	cathepsin H
GeneID:100036950	XB-GENE-946285	sft2d1.L	SFT2 domain containing 1 L homeolog
GeneID:100036951	XB-GENE-6255853	aup1.S	lipid droplet-regulating VLDL assembly factor AUP1
GeneID:100036952	XB-GENE-17335881	ppt1.S	palmitoyl-protein thioesterase 1
GeneID:100036953	XB-GENE-993373	nmnat1.L	nicotinamide nucleotide adenylyltransferase 1 L homeolog
GeneID:100036954	XB-GENE-17335375	optn.S	uncharacterized protein LOC100036954
GeneID:100036955	XB-GENE-6054022	lck.L	uncharacterized protein LOC100036955
GeneID:100036956	XB-GENE-5777988	dhx30.S	ATP-dependent RNA helicase DHX30
GeneID:100036957	XB-GENE-996205	trub2.L	TruB pseudouridine (psi) synthase family member 2 L homeolog
GeneID:100036958	XB-GENE-6255850	il2rg.L	cytokine receptor common subunit gamma
GeneID:100036959	XB-GENE-877115	rccd1.L	RCC1 domain containing 1 L homeolog
GeneID:100036960	XB-GENE-6255849	zbtb8a.1.S	zinc finger and BTB domain-containing protein 8A.1-B
GeneID:100036961	XB-GENE-865979	ccr7.L	C-C motif chemokine receptor 7 L homeolog
GeneID:100036963	XB-GENE-989007	sirt1.L	sirtuin 1 L homeolog
GeneID:100036964	XB-GENE-920812	ttll1.S	tubulin tyrosine ligase like 1 S homeolog
GeneID:100036965	XB-GENE-5944118	stard4.L	StAR related lipid transfer domain containing 4 L homeolog
GeneID:100036966	XB-GENE-996665	parvg.S	parvin gamma S homeolog
GeneID:100036967	XB-GENE-17337996	pigc.S	uncharacterized protein LOC100036967
GeneID:100036968	XB-GENE-5837114	faah.1.S	fatty acid amide hydrolase, gene 1 S homeolog
GeneID:100036969	XB-GENE-6487529	cd28.L	CD28 molecule L homeolog
GeneID:100036971	XB-GENE-945580	cryl1.L	crystallin lambda 1 L homeolog
GeneID:100036972	XB-GENE-967297	bloc1s2.L	biogenesis of lysosomal organelles complex-1, subunit 2 L homeolog
GeneID:100036973	XB-GENE-5904322	cdpf1.L	cysteine-rich DPF motif domain-containing protein 1
GeneID:100036974	XB-GENE-6255845	sat1.S	diamine N-acetyltransferase 1 a
GeneID:100036975	XB-GENE-6255844	phlda2.L	pleckstrin homology-like domain family A member 2
GeneID:100036976	NA	LOC100036976	uncharacterized protein LOC100036976
GeneID:100036977	XB-GENE-6255842	batf.L	basic leucine zipper transcriptional factor ATF-like
GeneID:100036978	XB-GENE-6255841	nisch.S	nischarin S homeolog
GeneID:100036979	XB-GENE-963776	ucp1.L	uncoupling protein 1 L homeolog
GeneID:100036980	XB-GENE-1000706	jmjd7.S	bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7
GeneID:100036981	XB-GENE-6255840	twist1.L	twist family bHLH transcription factor 1 L homeolog
GeneID:100036982	XB-GENE-923277	cenatac.S	centrosomal AT-AC splicing factor
GeneID:100036983	XB-GENE-1011754	gna15.L	guanine nucleotide binding protein (G protein), alpha 15 (Gq class) L homeolog
GeneID:100036984	XB-GENE-1009823	ercc3.L	general transcription and DNA repair factor IIH helicase subunit XPB
GeneID:100036985	XB-GENE-5794051	fli1b.S	Fli-1 proto-oncogene, ETS transcription factor beta S homeolog
GeneID:100036986	XB-GENE-6255839	fsip1.L	fibrous sheath-interacting protein 1
GeneID:100036987	XB-GENE-17332928	ndufb8.L	uncharacterized protein LOC100036987
GeneID:100036988	XB-GENE-5809199	mettl6.L	tRNA N(3)-methylcytidine methyltransferase METTL6
GeneID:100036989	XB-GENE-990432	XB990428.L	uncharacterized protein LOC100036989
GeneID:100036990	XB-GENE-5857382	mex3b.S	RNA-binding protein MEX3B
GeneID:100036991	XB-GENE-5766132	cmip.L	C-Maf-inducing protein
GeneID:100036992	XB-GENE-1001512	ppwd1.S	peptidylprolyl isomerase domain and WD repeat containing 1 S homeolog
GeneID:100036993	XB-GENE-5828061	tnks2.S	poly [ADP-ribose] polymerase tankyrase-2
GeneID:100036994	XB-GENE-17330164	insig1.S	uncharacterized protein LOC100036994
GeneID:100036995	XB-GENE-5845827	sprtn.S	DNA-dependent metalloprotease SPRTN
GeneID:100036996	XB-GENE-993043	snap47.L	synaptosome associated protein 47kDa L homeolog
GeneID:100036998	XB-GENE-17344005	napepld.L	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D
GeneID:100036999	XB-GENE-6255834	tmem241.L	transmembrane protein 241
GeneID:100037000	XB-GENE-5945955	XB5945946.L	uncharacterized protein LOC100037000 precursor
GeneID:100037001	NA	LOC100037001	KH homology domain-containing protein 4
GeneID:100037002	XB-GENE-6255560	ddrgk1.L	DDRGK domain-containing protein 1
GeneID:100037003	XB-GENE-6255559	tmem182.L	transmembrane protein 182
GeneID:100037004	XB-GENE-974580	nemp1.L	nuclear envelope integral membrane protein 1b precursor
GeneID:100037005	XB-GENE-1012216	mcu.L	calcium uniporter protein, mitochondrial
GeneID:100037006	XB-GENE-986136	c2cd2l.L	phospholipid transfer protein C2CD2L
GeneID:100037007	XB-GENE-997690	sgpl1.L	sphingosine-1-phosphate lyase 1
GeneID:100037008	XB-GENE-919989	bloc1s5.L	biogenesis of lysosome-related organelles complex 1 subunit 5
GeneID:100037009	XB-GENE-6255558	snph.S	syntaphilin
GeneID:100037010	XB-GENE-6255557	ca12.L	carbonic anhydrase XII L homeolog precursor
GeneID:100037011	XB-GENE-6255556	prpf40a.S	pre-mRNA-processing factor 40 homolog A
GeneID:100037012	XB-GENE-1004814	f12.L	coagulation factor XII
GeneID:100037013	XB-GENE-977162	sp3.S	Sp3 transcription factor S homeolog
GeneID:100037014	XB-GENE-17339452	fam171a2.S	protein FAM171A2 precursor
GeneID:100037015	XB-GENE-980702	prr14l.L	uncharacterized protein prr14l.L
GeneID:100037016	NA	LOC100037016	interferon gamma receptor 2
GeneID:100037017	XB-GENE-1219313	lrig3.S	leucine-rich repeats and immunoglobulin like domains 3 S homeolog precursor
GeneID:100037018	XB-GENE-966276	rnf26.L	ring finger protein 26 L homeolog
GeneID:100037019	XB-GENE-1015613	rnf38.L	E3 ubiquitin-protein ligase RNF38
GeneID:100037020	XB-GENE-5768765	dalrd3.L	DALR anticodon-binding domain-containing protein 3
GeneID:100037021	XB-GENE-17332620	bsg.L	uncharacterized protein LOC100037021 precursor
GeneID:100037022	XB-GENE-6079362	pkdcc.1.S	protein kinase domain containing, cytoplasmic homolog, gene 1
GeneID:100037024	XB-GENE-6079112	tmem181.L	transmembrane protein 181 L homeolog
GeneID:100037025	XB-GENE-997259	ganab.L	neutral alpha-glucosidase AB precursor
GeneID:100037036	XB-GENE-1018109	hes6.1.L	transcription cofactor HES-6
GeneID:100037037	XB-GENE-990888	fdx1.L	ferredoxin 1 L homeolog
GeneID:100037038	XB-GENE-6255541	ptar1.S	protein prenyltransferase alpha subunit repeat-containing protein 1-B
GeneID:100037039	XB-GENE-6255540	taf11.S	TATA-box binding protein associated factor 11 S homeolog
GeneID:100037040	NA	LOC100037040	T-cell leukemia translocation-altered gene protein homolog
GeneID:100037041	XB-GENE-985315	radx.L	uncharacterized protein LOC100037041
GeneID:100037042	XB-GENE-6255538	map7d1.L	MAP7 domain-containing protein 1
GeneID:100037043	XB-GENE-1006367	alg1.L	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase L homeolog
GeneID:100037044	XB-GENE-963220	slc7a6.L	Y+L amino acid transporter 2
GeneID:100037046	XB-GENE-951127	larp4.L	La ribonucleoprotein domain family member 4 L homeolog
GeneID:100037047	XB-GENE-5850772	XB5850668.L	uncharacterized protein LOC100037047
GeneID:100037048	XB-GENE-17345082	gucd1.L	uncharacterized protein LOC100037048
GeneID:100037049	XB-GENE-17332038	sec16a.S	protein transport protein Sec16A
GeneID:100037050	XB-GENE-17331300	smad6.S	uncharacterized protein LOC100037050
GeneID:100037051	XB-GENE-5854327	phgdh.S	phosphoglycerate dehydrogenase S homeolog
GeneID:100037052	XB-GENE-6255534	plscr3.L	uncharacterized protein LOC100037052
GeneID:100037053	XB-GENE-6255533	spib.S	Spi-B transcription factor S homeolog
GeneID:100037054	XB-GENE-6486050	coa5.L	cytochrome c oxidase assembly factor 5
GeneID:100037055	XB-GENE-6255531	atf7ip.S	activating transcription factor 7-interacting protein 1
GeneID:100037056	XB-GENE-6255530	cops9.S	COP9 signalosome complex subunit 9
GeneID:100037057	XB-GENE-6255529	apln.S	apelin S homeolog precursor
GeneID:100037058	XB-GENE-865061	vegfa.S	vascular endothelial growth factor A S homeolog precursor
GeneID:100037059	XB-GENE-864817	runx2.L	RUNX family transcription factor 2 L homeolog
GeneID:100037060	XB-GENE-1001017	eif2ak2.L	eukaryotic translation initiation factor 2 alpha kinase 2 L homeolog
GeneID:100037061	XB-GENE-6255528	srrt.S	serrate RNA effector molecule homolog A
GeneID:100037062	XB-GENE-6073199	rpl22l1.L	uncharacterized protein LOC100037062
GeneID:100037063	XB-GENE-5729953	pld6.S	mitochondrial cardiolipin hydrolase
GeneID:100037064	XB-GENE-17336092	ccdc12.L	uncharacterized protein LOC100037064
GeneID:100037065	XB-GENE-5854269	siva1.L	SIVA1, apoptosis-inducing factor L homeolog
GeneID:100037066	XB-GENE-6255526	urad.L	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
GeneID:100037068	XB-GENE-6255524	pgq.L	preproprotein pGQ L homeolog preproprotein
GeneID:100037069	XB-GENE-971817	ubxn6.L	UBX domain protein 6 L homeolog
GeneID:100037070	XB-GENE-864813	hoxa9.S	homeobox A9 S homeolog
GeneID:100037071	XB-GENE-5791437	vtga2.L	vitellogenin-A2 precursor
GeneID:100037072	XB-GENE-6255523	c22orf39.L	UPF0545 protein C22orf39 homolog
GeneID:100037073	XB-GENE-1021747	armh1.L	uncharacterized protein LOC100037073
GeneID:100037074	XB-GENE-961895	tmem11.L	transmembrane protein 11-A, mitochondrial
GeneID:100037075	XB-GENE-865788	taf4.L	TATA-box binding protein associated factor 4 L homeolog
GeneID:100037076	XB-GENE-6255522	fbxo31.L	F-box only protein 31-B
GeneID:100037077	XB-GENE-6255521	nol11.L	nucleolar protein 11 L homeolog
GeneID:100037078	NA	LOC100037078	uncharacterized protein LOC100037078
GeneID:100037079	XB-GENE-865041	casp7.S	caspase 7 S homeolog
GeneID:100037090	XB-GENE-17346438	pef1.S	peflin-like
GeneID:100037091	XB-GENE-989070	ttc14.L	tetratricopeptide repeat protein 14
GeneID:100037092	XB-GENE-5805743	slc7a6os.L	probable RNA polymerase II nuclear localization protein SLC7A6OS
GeneID:100037093	XB-GENE-6255508	cst7.L	cystatin F L homeolog precursor
GeneID:100037094	XB-GENE-6255507	c11orf58.L	small acidic protein-like
GeneID:100037095	XB-GENE-6255506	cdca7.L	cell division cycle associated 7 L homeolog
GeneID:100037096	XB-GENE-993732	wdr26.S	WD repeat-containing protein 26
GeneID:100037097	XB-GENE-17332580	utp25.L	uncharacterized protein LOC100037097
GeneID:100037098	XB-GENE-985402	cyp51a1.L	cytochrome P450 family 51 subfamily A member 1 L homeolog
GeneID:100037099	XB-GENE-866126	ido1.L	indoleamine 2,3-dioxygenase 1 L homeolog
GeneID:100037100	XB-GENE-994277	mboat1.L	lysophospholipid acyltransferase 1
GeneID:100037101	XB-GENE-5897994	s100z.L	S100 calcium binding protein Z L homeolog
GeneID:100037102	XB-GENE-5784224	cox6a2.L	cytochrome c oxidase subunit VIa polypeptide 2 L homeolog
GeneID:100037103	XB-GENE-6488649	mrps36.S	mitochondrial ribosomal protein S36 S homeolog
GeneID:100037104	XB-GENE-967233	gsto2.L	glutathione S-transferase omega 2 L homeolog
GeneID:100037105	XB-GENE-1009803	brk1.S	probable protein BRICK1-B
GeneID:100037106	XB-GENE-6255271	pla2g1bl.L	phospholipase A2, minor isoenzyme
GeneID:100037107	XB-GENE-17338194	myl4.S	uncharacterized protein LOC100037107
GeneID:100037108	NA	LOC100037108	alpha-synuclein
GeneID:100037109	XB-GENE-956603	ndufb9.L	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
GeneID:100037110	XB-GENE-5962066	chchd10.L	coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial
