Q66KW8,NP_001078914.1,NM_001085445.1,GeneID:447126,XB-GENE-1016356
O42571,NP_001079058.1,NM_001085589.1,GeneID:373589,XB-GENE-6253057
O13023,NP_001079059.1,NM_001085590.1,GeneID:373590,XB-GENE-865680
Q9PU16,XP_018109425.1,XM_018253936.2,GeneID:373591,XB-GENE-958420
O57464,NP_001079061.1,NM_001085592.1,GeneID:373592,XB-GENE-865473
O73786,XP_018106081.1,XM_018250592.2,GeneID:373593,XB-GENE-17346739
Q91632,NP_001079066.1,NM_001085597.1,GeneID:373598,XB-GENE-865026
Q9W625,NP_001079068.1,NM_001085599.1,GeneID:373600,XB-GENE-947996
Q9DEI1,NP_001079070.1,NM_001085601.1,GeneID:373602,XB-GENE-866368
O93534,NP_001079071.1,NM_001085602.1,GeneID:373603,XB-GENE-6252895
O93535,NP_001079072.1,NM_001085603.1,GeneID:373604,XB-GENE-6252894
O42595,NP_001079073.1,NM_001085604.1,GeneID:373605,XB-GENE-976456
Q9PVZ5,NP_001079074.1,NM_001085605.1,GeneID:373606,XB-GENE-865486
Q9I8C1,NP_001079075.1,NM_001085606.1,GeneID:373607,XB-GENE-5876793
Q9I8C0,NP_001079076.1,NM_001085607.1,GeneID:373608,XB-GENE-5765049
P13406,NP_001079077.1,NM_001085608.2,GeneID:373609,XB-GENE-6252893
Q9DEN3,NP_001079078.1,NM_001085609.1,GeneID:373610,XB-GENE-6252892
Q9PW73,NP_001079079.1,NM_001085610.1,GeneID:373611,XB-GENE-1000845
Q9PUM1,NP_001079080.1,NM_001085611.1,GeneID:373612,XB-GENE-6252891
Q9PVD1,NP_001079081.1,NM_001085612.2,GeneID:373613,XB-GENE-6252890
Q9PTK1,NP_001079082.1,NM_001085613.1,GeneID:373615,XB-GENE-5805868
Q91630,NP_001079083.1,NM_001085614.1,GeneID:373616,XB-GENE-6252889
P12856,NP_001079084.1,NM_001085615.2,GeneID:373617,XB-GENE-5872068
Q9IBF6,NP_001079085.1,NM_001085616.1,GeneID:373618,XB-GENE-6252888
Q9PTP2,NP_001079086.1,NM_001085617.1,GeneID:373619,XB-GENE-6252887
Q4KLD5,NP_001079087.1,NM_001085618.1,GeneID:373620,XB-GENE-982305
Q9W668,XP_041445052.1,XM_041589118.1,GeneID:373621,XB-GENE-6068889
Q9I8X5,NP_001079089.1,NM_001085620.1,GeneID:373622,XB-GENE-1004954
A9JS61,XP_041428575.1,XM_041572641.1,GeneID:373623,XB-GENE-6252886
P42587,NP_001079091.1,NM_001085622.1,GeneID:373624,XB-GENE-864842
Q9DGL0,NP_001079092.1,NM_001085623.1,GeneID:373625,XB-GENE-864950
Q9DFG2,NP_001079093.1,NM_001085624.1,GeneID:373626,XB-GENE-865567
Q9DFS0,NP_001079094.1,NM_001085625.1,GeneID:373627,XB-GENE-865103
Q9DEY9,NP_001079095.1,NM_001085626.1,GeneID:373628,XB-GENE-982565
Q9PT67,XP_041442494.1,XM_041586560.1,GeneID:373630,XB-GENE-6252884
Q9DDR1,XP_041422998.1,XM_041567064.1,GeneID:373631,XB-GENE-992329
Q9DDR0,NP_001079099.1,NM_001085630.1,GeneID:373632,XB-GENE-1018401
Q9DDU9,NP_001079100.1,NM_001085631.1,GeneID:373633,XB-GENE-865085
Q9DDU6,NP_001079101.1,NM_001085632.2,GeneID:373634,XB-GENE-1013959
Q9DE32,NP_001079102.1,NM_001085633.1,GeneID:373635,XB-GENE-6252883
Q98U13,NP_001079104.1,NM_001085635.2,GeneID:373637,XB-GENE-864814
Q98TW2,XP_018082268.1,XM_018226779.2,GeneID:373638,XB-GENE-992814
Q98SF2,NP_001079106.1,NM_001085637.1,GeneID:373639,XB-GENE-6252881
Q98SW0,NP_001079107.1,NM_001085638.1,GeneID:373640,XB-GENE-865317
P57101,NP_001079108.1,NM_001085639.1,GeneID:373641,XB-GENE-865126
P23767,NP_001079109.1,NM_001085640.1,GeneID:373642,XB-GENE-865107
Q91771,NP_001079110.1,NM_001085641.1,GeneID:373643,XB-GENE-5959297
Q99088,NP_001079111.1,NM_001085642.2,GeneID:373644,XB-GENE-962375
P13684,NP_001079112.1,NM_001085643.1,GeneID:373645,XB-GENE-6252880
P49011,NP_001079113.1,NM_001085644.1,GeneID:373646,XB-GENE-864891
Q2TAR1,NP_001079114.1,NM_001085645.1,GeneID:373647,XB-GENE-6252879
O13064,XP_041421165.1,XM_041565231.1,GeneID:373649,XB-GENE-1015131
Q91574,NP_001079116.1,NM_001085647.1,GeneID:373650,XB-GENE-866461
Q9W638,NP_001079117.1,NM_001085648.1,GeneID:373651,XB-GENE-945342
Q07016,NP_001079118.1,NM_001085649.1,GeneID:373652,XB-GENE-6252877
Q9PVY4,NP_001079120.1,NM_001085651.1,GeneID:373654,XB-GENE-1007496
P51473,NP_001079121.1,NM_001085652.1,GeneID:373655,XB-GENE-993056
Q68FK0,XP_041440790.1,XM_041584856.1,GeneID:373656,XB-GENE-953899
P51171,NP_001079123.1,NM_001085654.1,GeneID:373658,XB-GENE-980900
Q9I922,XP_041436757.1,XM_041580823.1,GeneID:373659,XB-GENE-865001
Q91558,NP_001079125.1,NM_001085656.1,GeneID:373660,XB-GENE-6252875
Q9IB89,NP_001079126.1,NM_001085657.1,GeneID:373661,XB-GENE-865408
P51609,NP_001079127.1,NM_001085658.1,GeneID:373662,XB-GENE-1013047
O73615,XP_041440792.1,XM_041584858.1,GeneID:373663,XB-GENE-865344
P16863,NP_001079129.1,NM_001085660.1,GeneID:373664,XB-GENE-876609
P53782,NP_001079130.1,NM_001085661.1,GeneID:373667,XB-GENE-6252872
O13263,NP_001079131.1,NM_001085662.1,GeneID:373668,XB-GENE-6252871
P36386,NP_001079132.1,NM_001085663.1,GeneID:373669,XB-GENE-17332732
Q91758,NP_001079133.1,NM_001085664.1,GeneID:373670,XB-GENE-5816223
Q6INY4,XP_018100225.1,XM_018244736.2,GeneID:373674,XB-GENE-483319
Q6GLS0,NP_001079135.1,NM_001085666.1,GeneID:373675,XB-GENE-960018
A0A8J0PMV9,NP_001079136.2,NM_001085667.1,GeneID:373676,XB-GENE-17342930
Q5U490,NP_001079137.1,NM_001085668.1,GeneID:373681,NA
Q7ZT73,NP_001079138.1,NM_001085669.1,GeneID:373682,NA
Q7ZT72,NP_001079139.1,NM_001085670.1,GeneID:373683,XB-GENE-6252862
Q90WE2,NP_001079140.1,NM_001085671.1,GeneID:373684,XB-GENE-6252861
O13123,NP_001079141.1,NM_001085672.1,GeneID:373685,XB-GENE-6252860
O42143,NP_001079142.1,NM_001085673.1,GeneID:373686,XB-GENE-1000161
O57422,XP_018110053.1,XM_018254564.2,GeneID:373689,XB-GENE-5957217
O93274,NP_001079144.1,NM_001085675.1,GeneID:373690,XB-GENE-865411
O57440,NP_001079145.1,NM_001085676.1,GeneID:373692,XB-GENE-864825
O73753,NP_001079148.1,NM_001085679.1,GeneID:373697,XB-GENE-865248
O93528,NP_001079149.1,NM_001085680.1,GeneID:373698,XB-GENE-6252856
O93411,NP_001079150.1,NM_001085681.1,GeneID:373700,XB-GENE-6252726
Q9YHU0,NP_001079151.1,NM_001085682.1,GeneID:373701,XB-GENE-864974
Q9YHT6,NP_001079152.1,NM_001085683.1,GeneID:373702,XB-GENE-6252725
Q9YHT5,XP_041438894.1,XM_041582960.1,GeneID:373703,XB-GENE-866434
O93590,NP_001079154.1,NM_001085685.1,GeneID:373704,XB-GENE-865322
Q800E5,NP_001079155.1,NM_001085686.1,GeneID:373705,XB-GENE-865716
P51113,NP_001079156.1,NM_001085687.1,GeneID:373706,XB-GENE-6252724
Q90Z04,NP_001079158.1,NM_001085689.1,GeneID:373711,XB-GENE-922842
Q90ZC7,NP_001079159.1,NM_001085690.1,GeneID:373712,XB-GENE-922343
Q5XHH3,NP_001079161.1,NM_001085692.1,GeneID:373715,XB-GENE-865622
Q8AYF1,NP_001079163.1,NM_001085694.1,GeneID:373722,XB-GENE-864864
Q9YHC5,NP_001079165.1,NM_001085696.1,GeneID:373732,XB-GENE-865339
Q9YHB9,NP_001079166.1,NM_001085697.1,GeneID:373733,XB-GENE-866482
Q9W6H1,NP_001079167.1,NM_001085698.1,GeneID:373735,XB-GENE-6252709
Q9W6H4,NP_001079168.1,NM_001085699.1,GeneID:373736,XB-GENE-865660
Q9W7E8,NP_001079169.1,NM_001085700.1,GeneID:373737,XB-GENE-6252708
Q9W7C2,NP_001079170.1,NM_001085701.2,GeneID:373738,XB-GENE-865653
Q9IAK3,NP_001079171.1,NM_001085702.1,GeneID:373739,XB-GENE-478765
A0A8J0PNA8,NP_001079172.2,NM_001085703.2,GeneID:373754,XB-GENE-865927
Q8AYN7,NP_001079174.1,NM_001085705.1,GeneID:373760,XB-GENE-17341318
Q8AV12,NP_001079175.1,NM_001085706.1,GeneID:373761,XB-GENE-6252695
Q9I8V4,XP_041440795.1,XM_041584861.1,GeneID:373765,NA
Q6P6Y9,NP_001079177.1,NM_001085708.1,GeneID:373772,XB-GENE-6252691
Q8AVS4,NP_001079178.1,NM_001085709.1,GeneID:373775,XB-GENE-949708
Q8AW92,NP_001079179.1,NM_001085710.1,GeneID:373776,XB-GENE-865262
Q8AVY7,NP_001079180.1,NM_001085711.1,GeneID:373777,XB-GENE-6252688
Q7ZXZ6,NP_001079181.1,NM_001085712.1,GeneID:373779,XB-GENE-997590
Q7ZTP8,NP_001079182.1,NM_001085713.1,GeneID:373780,XB-GENE-987490
Q7ZYG8,NP_001079183.1,NM_001085714.1,GeneID:373781,XB-GENE-988258
Q7ZY38,NP_001079184.1,NM_001085715.1,GeneID:373782,XB-GENE-6252686
B1NA62,NP_001079185.2,NM_001085716.3,GeneID:373783,XB-GENE-866550
Q8AVH6,NP_001079186.1,NM_001085717.1,GeneID:373784,XB-GENE-1021810
Q8AVK5,NP_001079187.1,NM_001085718.1,GeneID:373785,XB-GENE-987682
Q7ZXI1,NP_001079188.1,NM_001085719.1,GeneID:373787,XB-GENE-480741
Q7ZWV2,NP_001079189.1,NM_001085720.1,GeneID:373788,XB-GENE-6489511
Q7ZTN4,NP_001079190.1,NM_001085721.1,GeneID:373789,XB-GENE-6252682
Q7ZX13,NP_001079191.1,NM_001085722.1,GeneID:373790,XB-GENE-6252681
Q5U515,NP_001079192.1,NM_001085723.1,GeneID:373791,XB-GENE-5808712
Q7ZXX2,NP_001079193.1,NM_001085724.1,GeneID:373792,XB-GENE-5954830
P17247,NP_001079195.1,NM_001085726.1,GeneID:373801,XB-GENE-865387
Q801T2,NP_001079196.1,NM_001085727.1,GeneID:373803,XB-GENE-969606
Q7ZXP1,NP_001079198.1,NM_001085729.1,GeneID:373805,XB-GENE-6252421
Q8UUX7,NP_001079199.1,NM_001085730.1,GeneID:373806,XB-GENE-865934
Q9DG50,NP_001079200.1,NM_001085731.1,GeneID:373807,XB-GENE-5996060
Q9PTK2,NP_001079202.1,NM_001085733.2,GeneID:373809,XB-GENE-865391
Q9PUD4,NP_001079203.1,NM_001085734.1,GeneID:373810,XB-GENE-6252419
Q9PUD3,NP_001079204.1,NM_001085735.1,GeneID:373811,XB-GENE-5793911
Q9PUA5,NP_001079206.1,NM_001085737.1,GeneID:373814,XB-GENE-6252418
Q9I9M5,NP_001079207.1,NM_001085738.1,GeneID:373817,XB-GENE-865493
Q9DFZ4,NP_001079208.1,NM_001085739.1,GeneID:373819,XB-GENE-6252415
Q9DGN4,NP_001079209.1,NM_001085740.1,GeneID:373820,XB-GENE-864933
Q9I9H2,NP_001079210.1,NM_001085741.1,GeneID:373822,XB-GENE-865351
Q90WJ2,NP_001079211.1,NM_001085742.1,GeneID:373823,XB-GENE-5753579
Q9I8K3,NP_001079212.1,NM_001085743.1,GeneID:373824,XB-GENE-17345022
Q9I8J5,NP_001079213.1,NM_001085744.1,GeneID:373825,XB-GENE-6252412
Q9DFC6,NP_001079214.1,NM_001085745.1,GeneID:373829,XB-GENE-6252409
Q9DFC2,NP_001079215.1,NM_001085746.1,GeneID:373831,XB-GENE-866411
Q9DFC1,NP_001079216.1,NM_001085747.1,GeneID:373832,XB-GENE-865464
P58421,NP_001079217.1,NM_001085748.1,GeneID:373834,XB-GENE-865299
Q9DDQ8,NP_001079218.1,NM_001085749.1,GeneID:373835,XB-GENE-969232
Q9DEZ1,NP_001079219.1,NM_001085750.1,GeneID:373836,XB-GENE-488091
Q98TZ2,NP_001079220.1,NM_001085751.1,GeneID:373837,XB-GENE-5911786
Q8UVY5,NP_001079221.1,NM_001085752.1,GeneID:373838,XB-GENE-5918483
Q98TW4,NP_001079222.1,NM_001085753.1,GeneID:373840,XB-GENE-991585
Q90XW5,NP_001079223.1,NM_001085754.1,GeneID:373841,XB-GENE-865076
Q90WC1,NP_001079224.1,NM_001085755.1,GeneID:373843,XB-GENE-6067985
Q90ZP1,NP_001079225.1,NM_001085756.1,GeneID:373844,XB-GENE-977615
Q8JJ64,NP_001079226.1,NM_001085757.1,GeneID:373845,XB-GENE-865014
Q90YY3,NP_001079227.1,NM_001085758.1,GeneID:373847,XB-GENE-991580
Q90X57,NP_001079228.1,NM_001085759.1,GeneID:373848,XB-GENE-1000149
Q8UVI9,NP_001079229.1,NM_001085760.1,GeneID:378489,XB-GENE-5860323
Q71S22,NP_001079230.1,NM_001085761.1,GeneID:378491,XB-GENE-1221139
Q8QHA5,NP_001079231.1,NM_001085762.1,GeneID:378492,XB-GENE-5829000
Q8AXB4,NP_001079232.1,NM_001085763.1,GeneID:378493,XB-GENE-961767
Q6DCQ1,NP_001079235.1,NM_001085766.1,GeneID:378497,XB-GENE-865393
Q9YH95,NP_001079237.1,NM_001085768.1,GeneID:378499,XB-GENE-865318
O93476,NP_001079239.1,NM_001085770.1,GeneID:378501,XB-GENE-6252673
P27004,NP_001079240.1,NM_001085771.1,GeneID:378505,XB-GENE-6254353
Q00223,NP_001079243.1,NM_001085774.1,GeneID:378510,XB-GENE-5824171
P23768,NP_001079244.1,NM_001085775.1,GeneID:378511,XB-GENE-6252666
Q91786,NP_001079245.1,NM_001085776.2,GeneID:378515,XB-GENE-6078863
Q91781,NP_001079246.1,NM_001085777.1,GeneID:378516,XB-GENE-1010663
Q06234,NP_001079247.1,NM_001085778.1,GeneID:378517,XB-GENE-1032969
Q08427,NP_001079248.1,NM_001085779.1,GeneID:378520,XB-GENE-866474
P42118,NP_001079251.1,NM_001085782.1,GeneID:378525,XB-GENE-6252658
P47749,NP_001079252.1,NM_001085783.1,GeneID:378526,XB-GENE-985800
Q91559,NP_001079253.1,NM_001085784.1,GeneID:378527,XB-GENE-5959536
Q91562,NP_001079254.1,NM_001085785.1,GeneID:378529,XB-GENE-5872596
Q91592,NP_001079256.1,NM_001085787.1,GeneID:378534,XB-GENE-989395
Q91593,NP_001079257.1,NM_001085788.1,GeneID:378535,XB-GENE-982940
Q6DE38,NP_001079258.1,NM_001085789.1,GeneID:378536,XB-GENE-949114
Q91609,NP_001079259.1,NM_001085790.1,GeneID:378537,XB-GENE-5964411
Q91610,NP_001079260.1,NM_001085791.1,GeneID:378538,XB-GENE-864981
Q91611,NP_001079261.1,NM_001085792.1,GeneID:378539,XB-GENE-6252656
Q91612,NP_001079262.1,NM_001085793.1,GeneID:378540,XB-GENE-865057
Q91616,NP_001079263.1,NM_001085794.1,GeneID:378541,XB-GENE-6252655
Q91619,NP_001079265.1,NM_001085796.1,GeneID:378543,XB-GENE-865681
Q91629,NP_001079266.1,NM_001085797.1,GeneID:378546,XB-GENE-1011909
Q91638,NP_001079267.1,NM_001085798.1,GeneID:378548,XB-GENE-6067127
Q91640,NP_001079268.1,NM_001085799.1,GeneID:378549,XB-GENE-6252652
A0A1L8EWU6,XP_041431395.1,XM_041575461.1,GeneID:378550,XB-GENE-480548
O42474,NP_001079271.1,NM_001085802.1,GeneID:378553,XB-GENE-865997
Q91651,NP_001079272.1,NM_001085803.2,GeneID:378554,XB-GENE-864914
Q91653,NP_001079273.1,NM_001085804.1,GeneID:378555,XB-GENE-865598
Q91654,NP_001079274.1,NM_001085805.1,GeneID:378556,XB-GENE-865112
Q91664,NP_001079275.1,NM_001085806.1,GeneID:378558,XB-GENE-865058
Q91875,NP_001079276.1,NM_001085807.1,GeneID:378562,XB-GENE-6067935
P70031,NP_001079277.1,NM_001085808.1,GeneID:378563,XB-GENE-5793825
P79933,NP_001079278.1,NM_001085809.1,GeneID:378565,XB-GENE-866191
P87387,NP_001079279.1,NM_001085810.1,GeneID:378566,XB-GENE-960151
P70052,NP_001079280.1,NM_001085811.1,GeneID:378567,XB-GENE-864991
P79942,NP_001079281.1,NM_001085812.1,GeneID:378568,XB-GENE-6252647
P70061,NP_001079282.1,NM_001085813.1,GeneID:378569,XB-GENE-876836
P79945,NP_001079283.1,NM_001085814.1,GeneID:378570,XB-GENE-1009032
O42593,NP_001079284.1,NM_001085815.1,GeneID:378571,XB-GENE-5867508
O93470,NP_001079285.1,NM_001085816.1,GeneID:378572,XB-GENE-960307
A1L2L2,NP_001079286.1,NM_001085817.1,GeneID:378573,XB-GENE-480298
O57662,NP_001079287.1,NM_001085818.1,GeneID:378574,XB-GENE-5867986
O13124,NP_001079288.1,NM_001085819.2,GeneID:378575,XB-GENE-864847
O13125,NP_001079289.1,NM_001085820.1,GeneID:378576,XB-GENE-6252646
O13126,NP_001079290.1,NM_001085821.1,GeneID:378577,XB-GENE-989023
Q08B46,NP_001079291.1,NM_001085822.1,GeneID:378579,XB-GENE-865541
P48805,NP_001079292.1,NM_001085823.1,GeneID:378586,XB-GENE-6252641
P48806,NP_001079293.1,NM_001085824.1,GeneID:378587,XB-GENE-865382
Q788Q7,NP_001079295.1,NM_001085826.1,GeneID:378595,XB-GENE-6252636
B7ZR37,XP_041431398.1,XM_041575464.1,GeneID:378596,XB-GENE-6252635
Q91749,NP_001079297.1,NM_001085828.1,GeneID:378599,XB-GENE-6252632
Q91753,NP_001079298.1,NM_001085829.1,GeneID:378602,XB-GENE-981994
Q98998,NP_001079299.1,NM_001085830.1,GeneID:378605,XB-GENE-984751
O42603,NP_001079300.1,NM_001085831.1,GeneID:378608,XB-GENE-990954
Q9W708,XP_041419825.1,XM_041563891.1,GeneID:378609,XB-GENE-6252399
P50144,NP_001079303.1,NM_001085834.1,GeneID:378611,XB-GENE-6252398
P50145,NP_001079304.1,NM_001085835.1,GeneID:378612,XB-GENE-865926
Q91848,NP_001079305.1,NM_001085836.1,GeneID:378613,XB-GENE-864865
Q9W701,NP_001079308.1,NM_001085839.1,GeneID:378616,XB-GENE-6252397
Q9W700,NP_001079309.1,NM_001085840.2,GeneID:378618,XB-GENE-6085058
Q9PT69,NP_001079311.1,NM_001085842.1,GeneID:378621,XB-GENE-5902305
Q9PT64,NP_001079312.1,NM_001085843.1,GeneID:378622,XB-GENE-17340519
Q9PU18,NP_001079313.1,NM_001085844.1,GeneID:378623,XB-GENE-944029
Q9I8C2,NP_001079314.1,NM_001085845.1,GeneID:378626,XB-GENE-6252393
Q9I8B9,NP_001079315.1,NM_001085846.1,GeneID:378627,XB-GENE-5795352
Q9I8B8,NP_001079316.1,NM_001085847.1,GeneID:378628,XB-GENE-6252392
Q9DDB0,NP_001079317.1,NM_001085848.1,GeneID:378629,XB-GENE-1188142
Q90WN6,NP_001079318.1,NM_001085849.1,GeneID:378630,XB-GENE-865386
Q9DDA4,NP_001079319.1,NM_001085850.1,GeneID:378632,XB-GENE-865377
Q90YE5,NP_001079320.1,NM_001085851.1,GeneID:378633,XB-GENE-864816
Q90YE2,NP_001079321.1,NM_001085852.1,GeneID:378638,XB-GENE-865329
Q90WN4,NP_001079322.1,NM_001085853.1,GeneID:378641,XB-GENE-865311
Q98SI4,NP_001079323.1,NM_001085854.1,GeneID:378644,XB-GENE-6252384
Q8JIW9,NP_001079324.1,NM_001085855.1,GeneID:378645,XB-GENE-966372
Q8UWG5,NP_001079325.1,NM_001085856.1,GeneID:378647,XB-GENE-973009
Q8UUX8,NP_001079326.1,NM_001085857.1,GeneID:378648,XB-GENE-6252382
Q8QFX8,NP_001079327.1,NM_001085858.1,GeneID:378649,XB-GENE-6252381
Q8UUU3,NP_001079328.1,NM_001085859.1,GeneID:378650,XB-GENE-1217613
Q8AY22,NP_001079329.1,NM_001085860.1,GeneID:378653,XB-GENE-6252380
Q801G4,NP_001079330.1,NM_001085861.1,GeneID:378654,XB-GENE-964793
Q8AWH9,NP_001079331.1,NM_001085862.1,GeneID:378655,XB-GENE-865124
Q8AXW8,NP_001079332.1,NM_001085863.1,GeneID:378656,XB-GENE-865696
Q91696,NP_001079333.1,NM_001085864.1,GeneID:378661,XB-GENE-866343
P79991,NP_001079334.1,NM_001085865.2,GeneID:378662,XB-GENE-952211
P51510,NP_001079335.1,NM_001085866.1,GeneID:378663,XB-GENE-6068550
P79958,NP_001079336.1,NM_001085867.2,GeneID:378664,XB-GENE-6252376
O42342,NP_001079337.1,NM_001085868.1,GeneID:378665,XB-GENE-865761
P79921,NP_001079338.1,NM_001085869.1,GeneID:378666,XB-GENE-866088
O12999,NP_001079339.1,NM_001085870.1,GeneID:378667,XB-GENE-865433
Q9W6T3,NP_001079340.1,NM_001085871.1,GeneID:378668,XB-GENE-5940572
P55867,NP_001079341.1,NM_001085872.1,GeneID:378669,XB-GENE-6077552
P43443,NP_001079342.1,NM_001085873.2,GeneID:378672,XB-GENE-5967572
P31285,NP_001079343.1,NM_001085874.1,GeneID:378679,XB-GENE-1217290
P42700,NP_001079344.1,NM_001085875.2,GeneID:378688,XB-GENE-968761
P31286,NP_001079345.1,NM_001085876.1,GeneID:378689,XB-GENE-6252367
Q91775,NP_001079346.1,NM_001085877.1,GeneID:378690,XB-GENE-864901
P34992,NP_001079348.1,NM_001085879.1,GeneID:378693,XB-GENE-6252364
Q91929,NP_001079349.1,NM_001085880.1,GeneID:378694,XB-GENE-866033
P12707,NP_001079350.1,NM_001085881.1,GeneID:378695,XB-GENE-864803
A0A1L8GD41,XP_041447073.1,XM_041591139.1,GeneID:378696,XB-GENE-6252363
P13903,NP_001079352.1,NM_001085883.1,GeneID:378698,XB-GENE-865309
Q498L8,NP_001079353.1,NM_001085884.1,GeneID:378780,XB-GENE-481833
Q9IBG7,NP_001079355.1,NM_001085886.1,GeneID:378806,XB-GENE-865639
Q8JGT8,NP_001079357.1,NM_001085888.1,GeneID:378923,XB-GENE-1010862
Q90W56,NP_001079358.1,NM_001085889.1,GeneID:379038,XB-GENE-941677
Q8AVZ5,XP_018088148.1,XM_018232659.2,GeneID:379046,XB-GENE-17336809
Q2TAG3,XP_018084077.1,XM_018228588.2,GeneID:379047,XB-GENE-17334855
Q98TI4,NP_001079361.1,NM_001085892.2,GeneID:379048,XB-GENE-920224
Q9PWG8,NP_001079362.1,NM_001085893.1,GeneID:379049,XB-GENE-17335048
Q8AVE4,NP_001079363.1,NM_001085894.1,GeneID:379050,XB-GENE-17344878
Q2TAU1,NP_001079365.1,NM_001085896.1,GeneID:379052,XB-GENE-6053022
Q8AVZ0,NP_001079366.1,NM_001085897.1,GeneID:379053,XB-GENE-1017506
Q8AVY9,NP_001079367.1,NM_001085898.1,GeneID:379054,XB-GENE-865405
Q9DDV6,XP_041424285.1,XM_041568351.1,GeneID:379055,XB-GENE-6251832
Q8AVY2,NP_001079369.1,NM_001085900.1,GeneID:379056,XB-GENE-6251831
Q8AVY1,NP_001079370.1,NM_001085901.1,GeneID:379057,XB-GENE-6079195
Q7ZYU6,XP_041423002.1,XM_041567068.1,GeneID:379058,XB-GENE-17344393
Q8AVX9,NP_001079372.1,NM_001085903.1,GeneID:379059,XB-GENE-963360
Q8AVX8,NP_001079373.1,NM_001085904.1,GeneID:379060,XB-GENE-976392
Q5XH26,NP_001079374.1,NM_001085905.1,GeneID:379061,XB-GENE-482515
A0A1L8EMY5,XP_041434843.1,XM_041578909.1,GeneID:432115,XB-GENE-488762
Q8UVR6,XP_018097234.1,XM_018241745.2,GeneID:379063,XB-GENE-17338658
Q8AVX2,NP_001079377.1,NM_001085908.1,GeneID:379064,XB-GENE-6251827
Q8AVW6,XP_018089485.1,XM_018233996.2,GeneID:379065,XB-GENE-5897077
Q8AVW3,NP_001079379.1,NM_001085910.1,GeneID:379066,XB-GENE-5752923
Q8AVV7,NP_001079380.1,NM_001085911.1,GeneID:379067,XB-GENE-17340404
Q8AVV6,NP_001079381.1,NM_001085912.1,GeneID:379068,XB-GENE-988718
O42123,XP_018089486.1,XM_018233997.2,GeneID:379069,XB-GENE-5836974
Q8AVU6,NP_001079384.1,NM_001085915.1,GeneID:379071,XB-GENE-5892006
Q8AVU5,NP_001079385.1,NM_001085916.1,GeneID:379072,XB-GENE-5917474
Q8AVU4,NP_001079386.1,NM_001085917.1,GeneID:379073,XB-GENE-6256448
Q32NS7,XP_041428655.1,XM_041572721.1,GeneID:379074,XB-GENE-1000251
Q8AVU1,NP_001079389.1,NM_001085920.1,GeneID:379076,XB-GENE-866065
