GeneID:735223	XB-GENE-478088	tbx1.L	T-box 1 L homeolog
GeneID:446331	XB-GENE-479516	bcap31.L	B cell receptor associated protein 31 L homeolog
GeneID:734224	XB-GENE-479542	aicda.L	activation-induced cytidine deaminase L homeolog
GeneID:380490	XB-GENE-479764	frs2.L	fibroblast growth factor receptor substrate 2 L homeolog
GeneID:380407	XB-GENE-479955	rap2a.S	RAP2A, member of RAS oncogene family S homeolog
GeneID:399145	XB-GENE-480022	nr2f1.L	nuclear receptor subfamily 2 group F member 1 L homeolog
GeneID:496107	XB-GENE-480233	ppara.L	peroxisome proliferator activated receptor alpha L homeolog
GeneID:447094	XB-GENE-480282	rab8b.L	RAB8B, member RAS oncogene family L homeolog
GeneID:378573	XB-GENE-480298	slc13a2.S	solute carrier family 13 member 2 S homeolog
GeneID:399365	XB-GENE-480490	irx3.L	iroquois homeobox 3 L homeolog
GeneID:379410	XB-GENE-480519	tnnc1.S	troponin C1, slow skeletal and cardiac typeS homeolog
GeneID:378550	XB-GENE-480548	dpepe.L	dipeptidase E L homeolog
GeneID:380394	XB-GENE-480612	ldha.S	lactate dehydrogenase A S homeolog
GeneID:380249	XB-GENE-480674	pes1.S	pescadillo ribosomal biogenesis factor 1 S homeolog
GeneID:398185	XB-GENE-480721	six1.L	SIX homeobox 1 L homeolog
GeneID:373787	XB-GENE-480741	hoxa1.L	homeobox A1 L homeolog
GeneID:379873	XB-GENE-480822	nr2f6.L	nuclear receptor subfamily 2 group F member 6 L homeolog
GeneID:399455	XB-GENE-480859	apc.L	adenomatous polyposis coli L homeolog
GeneID:399214	XB-GENE-480869	sox8.L	SRY-box 8 L homeolog
GeneID:380435	XB-GENE-481129	srsf2.L	serine/arginine-rich splicing factor 2 L homeolog
GeneID:398111	XB-GENE-481302	id2.L	inhibitor of DNA binding 2 L homeolog
GeneID:399369	XB-GENE-481311	smad6.L	SMAD family member 6 L homeolog
GeneID:677862	XB-GENE-481423	gdf1.S	growth differentiation factor 1 S homeolog
GeneID:446624	XB-GENE-481527	vezf1.S	vascular endothelial zinc finger 1 S homeolog
GeneID:399459	XB-GENE-481534	map3k7.L	mitogen-activated protein kinase kinase kinase 7 L homeolog
GeneID:398056	XB-GENE-481563	mmp13l.S	matrix metallopeptidase 13 (collagenase 3) like S homeolog
GeneID:447732	XB-GENE-481582	arrb1.S	arrestin beta 1 S homeolog
GeneID:380364	XB-GENE-481619	stmn1.S	stathmin 1 S homeolog
GeneID:443560	XB-GENE-481684	tap2.L	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) L homeolog
GeneID:399397	XB-GENE-481770	tle4.S	transducin like enhancer of split 4 S homeolog
GeneID:446295	XB-GENE-481788	gdf5.L	growth differentiation factor 5 L homeolog
GeneID:378780	XB-GENE-481833	bmp2.S	bone morphogenetic protein 2 S homeolog
GeneID:398689	XB-GENE-481843	darmin.L	darmin L homeolog
GeneID:399258	XB-GENE-481920	psen1.L	presenilin 1 L homeolog
GeneID:399131	XB-GENE-482006	rbbp4.L	retinoblastoma binding protein 4 L homeolog
GeneID:380227	XB-GENE-482015	rab5a.L	RAB5A, member RAS oncogene family L homeolog
GeneID:398164	XB-GENE-482081	szl.L	sizzled L homeolog
GeneID:446781	XB-GENE-482137	ptgs2.S	prostaglandin-endoperoxide synthase 2S homeolog
GeneID:379409	XB-GENE-482147	hmgn3.S	high mobility group nucleosomal binding domain 3 S homeolog
GeneID:399471	XB-GENE-482155	map2k4.L	mitogen-activated protein kinase kinase 4 L homeolog
GeneID:446770	XB-GENE-482180	csf3r.L	colony stimulating factor 3 receptor L homeolog
GeneID:380157	XB-GENE-482213	rpl8.S	ribosomal protein L8 S homeolog
GeneID:399207	XB-GENE-482324	hoxd13.S	homeobox D13 S homeolog
GeneID:445001	XB-GENE-482476	fgfrl1.L	fibroblast growth factor receptor like 1 L homeolog
GeneID:398033	XB-GENE-482496	pitx2.L	paired like homeodomain 2 L homeolog
GeneID:379061	XB-GENE-482515	smarce1.L	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 L homeolog
GeneID:444991	XB-GENE-482532	foxo1.L	forkhead box O1 L homeolog
GeneID:380180	XB-GENE-482570	nr2f2.L	nuclear receptor subfamily 2 group F member 2 L homeolog
GeneID:397704	XB-GENE-482658	zic2.L	Zic family member 2 L homeolog
GeneID:380388	XB-GENE-482706	prkacb.S	protein kinase cAMP-activated catalytic subunit beta S homeolog
GeneID:446541	XB-GENE-482725	e2f4.S	E2F transcription factor 4 S homeolog
GeneID:399267	XB-GENE-482735	hoxd1.S	homeobox D1 S homeolog
GeneID:496376	XB-GENE-482744	pax3.S	paired box 3 S homeolog
GeneID:380246	XB-GENE-482754	cdk1.S	cyclin-dependent kinase 1 S homeolog
GeneID:380412	XB-GENE-482791	cdx4.L	caudal type homeobox 4 L homeolog
GeneID:380389	XB-GENE-482845	mmp2.S	matrix metallopeptidase 2 S homeolog
GeneID:446320	XB-GENE-482870	prl.1.L	prolactin, gene 1 L homeolog
GeneID:380408	XB-GENE-482980	prrc2a.L	proline rich coiled-coil 2A L homeolog
GeneID:397874	XB-GENE-483062	bmp4.L	bone morphogenetic protein 4 L homeolog
GeneID:399290	XB-GENE-483089	nr3c2.L	nuclear receptor subfamily 3 group C member 2 L homeolog
GeneID:397769	XB-GENE-483140	pparg.L	peroxisome proliferator activated receptor gamma L homeolog
GeneID:779122	XB-GENE-483178	pou3f2.L	POU class 3 homeobox 2 L homeolog
GeneID:398250	XB-GENE-483246	hoxa11.S	homeobox A11 S homeolog
GeneID:733315	XB-GENE-483301	tank.L	TRAF family member associated NFKB activator L homeolog
GeneID:373674	XB-GENE-483319	nr4a1.L	nuclear receptor subfamily 4 group A member 1 L homeolog
GeneID:398205	XB-GENE-483348	ruvbl2.L	RuvB like AAA ATPase 2 L homeolog
GeneID:733339	XB-GENE-483413	pkd1.L	polycystin 1, transient receptor potential channel interacting L homeolog
GeneID:399440	XB-GENE-483422	sox11.S	SRY-box 11 S homeolog
GeneID:379560	XB-GENE-483449	twsg1.L	twisted gastrulation BMP signaling modulator 1 L homeolog
GeneID:108701683	XB-GENE-483479	rasd1.L	ras related dexamethasone induced 1 L homeolog
GeneID:379079	XB-GENE-483504	eno1.L	enolase 1 L homeolog
GeneID:398880	XB-GENE-483568	rab7a.L	RAB7A, member RAS oncogene family L homeolog
GeneID:380532	XB-GENE-483707	pomc.L	proopiomelanocortin L homeolog
GeneID:735101	XB-GENE-483725	cdk9.S	cyclin-dependent kinase 9 S homeolog
GeneID:378787	XB-GENE-483735	fzd7.L	frizzled class receptor 7 L homeolog
GeneID:446697	XB-GENE-483754	jak1.S	Janus kinase 1 (a protein tyrosine kinase) S homeolog
GeneID:443783	XB-GENE-483836	maea.S	macrophage erythroblast attacher S homeolog
GeneID:399454	XB-GENE-483908	acvr1b.S	activin A receptor type 1B S homeolog
GeneID:447262	XB-GENE-483964	kcnj1.L	potassium inwardly rectifying channel subfamily J member 1 L homeolog
GeneID:380045	XB-GENE-484007	ppp2cal.S	protein phosphatase 2 catalytic subunit alpha-like S homeolog
GeneID:379783	XB-GENE-484172	akt2.L	v-akt murine thymoma viral oncogene homolog 2 L homeolog
GeneID:398176	XB-GENE-484201	nap1l1.S	nucleosome assembly protein 1 like 1 S homeolog
GeneID:399277	XB-GENE-484252	acvr2b.L	activin A receptor type 2B L homeolog
GeneID:446334	XB-GENE-484336	fgf13.L	fibroblast growth factor 13 L homeolog
GeneID:380466	XB-GENE-484361	slc30a1.L	solute carrier family 30 member 1 L homeolog
GeneID:380592	XB-GENE-484420	slc22a5.L	solute carrier family 22 member 5 L homeolog
GeneID:100381084	XB-GENE-484429	ptf1a.S	pancreas associated transcription factor 1a S homeolog
GeneID:397765	XB-GENE-484499	pdgfa.S	platelet derived growth factor subunit A S homeolog
GeneID:380052	XB-GENE-484615	amd1.L	adenosylmethionine decarboxylase 1 L homeolog
GeneID:407843	XB-GENE-484699	fshb.L	follicle stimulating hormone subunit beta L homeolog
GeneID:444386	XB-GENE-484809	tcf21.L	transcription factor 21 L homeolog
GeneID:399335	XB-GENE-484819	sox3.S	SRY-box 3 S homeolog
GeneID:446579	XB-GENE-484939	gpr89b.L	G protein-coupled receptor 89B L homeolog
GeneID:399170	XB-GENE-484957	akt1.S	v-akt murine thymoma viral oncogene homolog 1 S homeolog
GeneID:399386	XB-GENE-485020	rala.L	v-ral simian leukemia viral oncogene homolog A (ras related) L homeolog
GeneID:380122	XB-GENE-485039	klf2.S	KLF transcription factor 2 S homeolog
GeneID:399201	XB-GENE-485077	igfbp5.L	insulin like growth factor binding protein 5 L homeolog
GeneID:380355	XB-GENE-485151	sfrp2.S	secreted frizzled-related protein 2 S homeolog
GeneID:399032	XB-GENE-485208	hoxd10.L	homeobox D10 L homeolog
GeneID:432013	XB-GENE-485224	otx2.L	orthodenticle homeobox 2 L homeolog
GeneID:398679	XB-GENE-485256	sall4.L	spalt-like transcription factor 4 L homeolog
GeneID:733169	XB-GENE-485265	myocd.L	myocardin L homeolog
GeneID:399348	XB-GENE-485331	prox1.L	prospero homeobox 1 L homeolog
GeneID:379219	XB-GENE-485341	meis3.S	Meis homeobox 3 S homeolog
GeneID:394310	XB-GENE-485445	pitx1.L	paired like homeodomain 1 L homeolog
GeneID:380297	XB-GENE-485471	slc7a8.L	solute carrier family 7 member 8 L homeolog
GeneID:399461	XB-GENE-485511	cdk7.L	cyclin-dependent kinase 7 L homeolog
GeneID:398343	XB-GENE-485630	hsp70.L	heat shock 70kDa protein L homeolog
GeneID:407753	XB-GENE-485647	mmp14.L	matrix metallopeptidase 14 L homeolog
GeneID:398842	XB-GENE-485656	hnf1b.L	HNF1 homeobox B L homeolog
GeneID:398592	XB-GENE-485786	mapk12.S	mitogen-activated protein kinase 12 S homeolog
GeneID:100381176	XB-GENE-485796	hoxd9.S	homeobox D9 S homeolog
GeneID:399252	XB-GENE-485811	hdac2.S	histone deacetylase 2 S homeolog
GeneID:399448	XB-GENE-485877	pkm.S	pyruvate kinase M1/2 S homeolog
GeneID:399164	XB-GENE-485979	tcf7l2.L	transcription factor 7 like 2 L homeolog
GeneID:380560	XB-GENE-486018	bmp7.1.L	bone morphogenetic protein 7, gene 1 L homeolog
GeneID:108696872	XB-GENE-486108	atp4a.L	ATPase H+/K+ transporting subunit alpha L homeolog
GeneID:398183	XB-GENE-486166	pitx3.L	paired like homeodomain 3 L homeolog
GeneID:399282	XB-GENE-486300	fst.L	follistatin L homeolog
GeneID:399158	XB-GENE-486365	ruvbl1.S	RuvB like AAA ATPase 1 S homeolog
GeneID:446726	XB-GENE-486476	slc5a5.L	solute carrier family 5 member 5 L homeolog
GeneID:733170	XB-GENE-486580	grhl1.L	grainyhead like transcription factor 1 L homeolog
GeneID:379520	XB-GENE-486805	pax2.L	paired box 2 L homeolog
GeneID:403370	XB-GENE-486869	gps2.L	G protein pathway suppressor 2 L homeolog
GeneID:399226	XB-GENE-486879	srsf1.L	serine/arginine-rich splicing factor 1 L homeolog
GeneID:399206	XB-GENE-486919	hoxc10.L	homeobox C10 L homeolog
GeneID:380465	XB-GENE-486929	rrm2.2.L	ribonucleotide reductase M2, gene 2 L homeolog
GeneID:100101279	XB-GENE-487006	fgf2.L	fibroblast growth factor 2  L homeolog
GeneID:380215	XB-GENE-487128	xbp1.L	X-box binding protein 1 L homeolog
GeneID:496381	XB-GENE-487182	nppb.L	natriuretic peptide B L homeolog
GeneID:380441	XB-GENE-487204	ctnnb1.S	catenin beta 1 S homeolog
GeneID:380067	XB-GENE-487224	net1.L	neuroepithelial cell transforming 1 L homeolog
GeneID:379875	XB-GENE-487283	dnm1l.L	dynamin 1-like L homeolog
GeneID:100125667	XB-GENE-487356	foxa1.L	forkhead box A1 L homeolog
GeneID:380452	XB-GENE-487398	mef2a.L	myocyte enhancer factor 2A L homeolog
GeneID:108712854	XB-GENE-487408	arnt2.S	aryl hydrocarbon receptor nuclear translocator 2 S homeolog
GeneID:100190780	XB-GENE-487424	smo.L	smoothened, frizzled class receptor L homeolog
GeneID:399041	XB-GENE-487452	mif.L	macrophage migration inhibitory factor L homeolog
GeneID:443781	XB-GENE-487462	gata4.L	GATA binding protein 4 L homeolog
GeneID:398187	XB-GENE-487485	nkx2-4.L	NK2 homeobox 4 L homeolog
GeneID:380097	XB-GENE-487503	hhip.L	hedgehog interacting protein L homeolog
GeneID:493575	XB-GENE-487587	pdgfb.S	platelet derived growth factor subunit B S homeolog
GeneID:399304	XB-GENE-487596	nr6a1.S	nuclear receptor subfamily 6 group A member 1 S homeolog
GeneID:503510	XB-GENE-487606	nog2.L	noggin 2 L homeolog
GeneID:734213	XB-GENE-487815	nphs1.S	NPHS1 nephrin S homeolog
GeneID:108708306	XB-GENE-487913	rbbp7.L	retinoblastoma binding protein 7 L homeolog
GeneID:108707356	XB-GENE-488018	aqp3.S	aquaporin 3 (Gill blood group) S homeolog
GeneID:373836	XB-GENE-488091	hoxa2.L	homeobox A2 L homeolog
GeneID:414533	XB-GENE-488203	socs3.L	suppressor of cytokine signaling 3 L homeolog
GeneID:397791	XB-GENE-488506	mdk.S	midkine S homeolog
GeneID:432115	XB-GENE-488762	h3-3b.S	H3.3 histone B S homeolog
GeneID:397934	XB-GENE-488983	fscn1.L	fascin actin-bundling protein 1 L homeolog
GeneID:734239	XB-GENE-489002	actr2.S	ARP2 actin-related protein 2 homolog S homeolog
GeneID:734382	XB-GENE-489012	rac1.L	Rac family small GTPase 1 L homeolog
GeneID:379665	XB-GENE-489022	rab35l.S	RAB35, member RAS oncogene family like S homeolog
GeneID:734719	XB-GENE-489031	rap2c.L	RAP2C, member of RAS oncogene family L homeolog
GeneID:397793	XB-GENE-489145	hnrnpc.L	heterogeneous nuclear ribonucleoprotein C (C1/C2) L homeolog
GeneID:403375	XB-GENE-489321	pkp3.S	plakophilin 3 S homeolog
GeneID:379773	XB-GENE-489330	cnmd.L	chondromodulin L homeolog
GeneID:398496	XB-GENE-489401	jup.L	junction plakoglobin L homeolog
GeneID:398138	XB-GENE-489582	pacsin2.S	protein kinase C and casein kinase substrate in neurons 2 S homeolog
GeneID:379887	XB-GENE-489638	slc25a3.L	solute carrier family 25 member 3 L homeolog
GeneID:379745	XB-GENE-489662	lmnb1.L	lamin B1 L homeolog
GeneID:414479	XB-GENE-489815	rasgrp1.L	RAS guanyl releasing protein 1 L homeolog
GeneID:380430	XB-GENE-489824	src.L	SRC proto-oncogene, non-receptor tyrosine kinase L homeolog
GeneID:399423	XB-GENE-489856	rab18.S	RAB18, member RAS oncogene family S homeolog
GeneID:100192360	XB-GENE-489921	cxcr4.L	C-X-C motif chemokine receptor 4 L homeolog
GeneID:379922	XB-GENE-489959	rangap1.L	Ran GTPase activating protein 1 L homeolog
GeneID:495404	XB-GENE-490003	rab3a.L	RAB3A, member RAS oncogene family L homeolog
GeneID:100036943	XB-GENE-490059	tuba8.S	tubulin alpha 8 S homeolog
GeneID:379817	XB-GENE-490164	kitlg.L	KIT ligand L homeolog
GeneID:734194	XB-GENE-490228	shroom3.L	shroom family member 3 L homeolog
GeneID:734228	XB-GENE-490283	ldb2.S	LIM domain binding 2 S homeolog
GeneID:100125666	XB-GENE-490382	msx1.L	msh homeobox 1 L homeolog
GeneID:494677	XB-GENE-490395	rab3d.S	RAB3D, member RAS oncogene family S homeolog
GeneID:380108	XB-GENE-490414	arpc1b.L	actin related protein 2/3 complex subunit 1B L homeolog
GeneID:496237	XB-GENE-490424	dnajc27.S	DnaJ heat shock protein family (Hsp40) member C27 S homeolog
GeneID:446693	XB-GENE-490457	tubgcp2.L	tubulin gamma complex associated protein 2 L homeolog
GeneID:446537	XB-GENE-490528	arpc5l.L	actin related protein 2/3 complex subunit 5-like L homeolog
GeneID:379808	XB-GENE-490549	capzb.S	capping actin protein of muscle Z-line subunit beta S homeolog
GeneID:735138	XB-GENE-490591	klf5.S	KLF transcription factor 5 S homeolog
GeneID:380152	XB-GENE-490821	srsf3.S	serine/arginine-rich splicing factor 3 S homeolog
GeneID:503672	XB-GENE-490905	flrt3.L	fibronectin leucine rich transmembrane protein 3 L homeolog
GeneID:447015	XB-GENE-490939	mak.L	male germ cell associated kinase L homeolog
GeneID:380136	XB-GENE-490949	txndc5.L	thioredoxin domain containing 5 L homeolog
GeneID:380082	XB-GENE-490997	hnrnpa2b1.S	heterogeneous nuclear ribonucleoprotein A2/B1 S homeolog
GeneID:398676	XB-GENE-491025	sst.1.S	somatostatin, gene 1 S homeolog
GeneID:399241	XB-GENE-491108	smarcd1.L	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 L homeolog
GeneID:380121	XB-GENE-491143	stam2.S	signal transducing adaptor molecule 2 S homeolog
GeneID:379824	XB-GENE-491178	rab11b.S	RAB11B, member RAS oncogene family gene 1 S homeolog
GeneID:734395	XB-GENE-491342	xpo7.L	exportin 7 L homeolog
GeneID:399142	XB-GENE-491437	pten.L	phosphatase and tensin homolog L homeolog
GeneID:398420	XB-GENE-491484	eed.S	embryonic ectoderm development S homeolog
GeneID:398135	XB-GENE-491557	mbd3.S	methyl-CpG binding domain protein 3 S homeolog
GeneID:108698647	XB-GENE-491585	hnrnpl.L	heterogeneous nuclear ribonucleoprotein L L homeolog
GeneID:380438	XB-GENE-491612	yars1.S	tyrosyl-tRNA synthetase 1 S homeolog
GeneID:380341	XB-GENE-491658	pon2.L	paraoxonase 2 L homeolog
GeneID:379891	XB-GENE-491690	slc25a1.L	solute carrier family 25 member 1 L homeolog
GeneID:379683	XB-GENE-491737	rbm12.L	RNA binding motif protein 12 L homeolog
GeneID:446316	XB-GENE-491906	actr1a.L	ARP1 actin related protein 1 homolog A  L homeolog
GeneID:446775	XB-GENE-491924	hpca.S	hippocalcin S homeolog
GeneID:432314	XB-GENE-491942	acta1.S	actin, alpha 1, skeletal muscle S homeolog
GeneID:734204	XB-GENE-491969	lox.L	lysyl oxidase L homeolog
GeneID:398242	XB-GENE-492039	bard1.L	BRCA1 associated RING domain 1 L homeolog
GeneID:380186	XB-GENE-492100	rheb.L	Ras homolog, mTORC1 binding L homeolog
GeneID:379611	XB-GENE-492170	ssr1.L	signal sequence receptor, alpha (translocon-associated protein alpha) L homeolog
GeneID:446785	XB-GENE-492230	rbm39.L	RNA binding motif protein 39 L homeolog
GeneID:399208	XB-GENE-492319	cbx3.L	chromobox 3 L homeolog
GeneID:379908	XB-GENE-492329	tra2a.L	transformer 2 alpha homolog L homeolog
GeneID:444298	XB-GENE-492438	cttn.L	cortactin L homeolog
GeneID:733430	XB-GENE-492538	adam17.L	ADAM metallopeptidase domain 17 L homeolog
GeneID:495679	XB-GENE-492604	adamts1.L	ADAM metallopeptidase with thrombospondin type 1 motif 1 L homeolog
GeneID:379484	XB-GENE-492785	cirbp.S	cold inducible RNA binding protein S homeolog
GeneID:379832	XB-GENE-492860	sf3a2.S	splicing factor 3a subunit 2 S homeolog
GeneID:398011	XB-GENE-492927	vax2.L	ventral anterior homeobox 2 L homeolog
GeneID:779120	XB-GENE-493141	fubp1.L	far upstream element binding protein 1 L homeolog
GeneID:380055	XB-GENE-493160	ckb.L	creatine kinase, brain L homeolog
GeneID:380419	XB-GENE-493268	col1a2.L	collagen type I alpha 2 L homeolog
GeneID:100158419	XB-GENE-493321	khsrp.L	KH-type splicing regulatory protein L homeolog
GeneID:380019	XB-GENE-493418	arfgap3.S	ADP ribosylation factor GTPase activating protein 3 S homeolog
GeneID:446849	XB-GENE-493489	il10rb.S	interleukin 10 receptor subunit beta S homeolog
GeneID:380042	XB-GENE-493506	shoc2.S	SHOC2 leucine-rich repeat scaffold protein S homeolog
GeneID:379411	XB-GENE-493544	magoh.L	mago homolog, exon junction complex subunit L homeolog
GeneID:379765	XB-GENE-493632	ckm.L	creatine kinase, M-type L homeolog
GeneID:414292	XB-GENE-493700	rap2b.S	RAP2B, member of RAS oncogene family S homeolog
GeneID:380037	XB-GENE-493737	eif3l.L	eukaryotic translation initiation factor 3 subunit L L homeolog
GeneID:399118	XB-GENE-493780	mbd2.S	methyl-CpG binding domain protein 2 S homeolog
GeneID:398148	XB-GENE-493814	atm.L	ATM serine/threonine kinase L homeolog
GeneID:733365	XB-GENE-493852	tuba1l.L	tubulin alpha 1 like L homeolog
GeneID:380189	XB-GENE-493878	fbxw2.L	F-box and WD repeat domain containing 2 L homeolog
GeneID:399422	XB-GENE-493913	actn1.L	actinin alpha 1 L homeolog
GeneID:380381	XB-GENE-493967	hnrnpa1.S	heterogeneous nuclear ribonucleoprotein A1 S homeolog
GeneID:399248	XB-GENE-494074	p4hb.L	prolyl 4-hydroxylase subunit beta L homeolog
GeneID:379746	XB-GENE-494119	arpc3.L	actin related protein 2/3 complex subunit 3 L homeolog
GeneID:380059	XB-GENE-494129	foxi1.L	forkhead box I1 L homeolog
GeneID:380287	XB-GENE-494188	u2af2.S	U2 small nuclear RNA auxiliary factor 2 S homeolog
GeneID:446865	XB-GENE-494343	actn4.S	actinin alpha 4 S homeolog
GeneID:399197	XB-GENE-494371	ilf3.S	interleukin enhancer binding factor 3 S homeolog
GeneID:446622	XB-GENE-494533	alg2.L	ALG2, alpha-1,3/1,6-mannosyltransferase L homeolog
GeneID:100505423	XB-GENE-494552	krasl.L	Kirsten rat sarcoma viral oncogene homolog like L homeolog
GeneID:444592	XB-GENE-494570	dbnl.S	drebrin like S homeolog
GeneID:398087	XB-GENE-494744	mecp2.S	methyl-CpG binding protein 2 S homeolog
GeneID:399182	XB-GENE-494754	lmx1b.1.S	LIM homeobox transcription factor 1, beta, gene 1 S homeolog
GeneID:399198	XB-GENE-494866	shc1.L	SHC (Src homology 2 domain containing) transforming protein 1 L homeolog
GeneID:446868	XB-GENE-494935	des.1.L	desmin, gene 1 L homeolog
GeneID:779346	XB-GENE-494991	rbm5.L	RNA binding motif protein 5 L homeolog
GeneID:379907	XB-GENE-495067	ndufv1.L	NADH:ubiquinone oxidoreductase core subunit V1 L homeolog
GeneID:443811	XB-GENE-495077	ranbp3.L	RAN binding protein 3 L homeolog
GeneID:380075	XB-GENE-495123	fus.S	FUS RNA binding protein S homeolog
GeneID:394227	XB-GENE-495398	flrt2.S	fibronectin leucine rich transmembrane protein 2 S homeolog
GeneID:497632	XB-GENE-495459	bmal1.S	basic helix-loop-helix ARNT like 1 S homeolog
GeneID:380051	XB-GENE-852645	nell2.L	neural EGFL like 2 L homeolog
GeneID:380058	XB-GENE-852658	ppm1a.S	protein phosphatase, Mg2+/Mn2+ dependent 1A S homeolog
GeneID:446485	XB-GENE-852734	gyg1.S	glycogenin 1 S homeolog
GeneID:495299	XB-GENE-852749	etv3.S	ETS variant transcription factor 3 S homeolog
GeneID:380365	XB-GENE-852823	meox2.S	mesenchyme homeobox 2 S homeolog
GeneID:399264	XB-GENE-852896	dlx2.L	distal-less homeobox 2 L homeolog
GeneID:380027	XB-GENE-852934	chn1.L	chimerin 1 L homeolog
GeneID:380112	XB-GENE-853028	tgif1.S	TGFB induced factor homeobox 1 S homeolog
GeneID:380571	XB-GENE-853046	elk3.L	ELK3, ETS transcription factor L homeolog
GeneID:399265	XB-GENE-853062	dlx5.L	distal-less homeobox 5 L homeolog
GeneID:447175	XB-GENE-853120	tm4sf1.S	transmembrane 4 L six family member 1 S homeolog
GeneID:380265	XB-GENE-853257	prdm1.S	PR domain 1 S homeolog
GeneID:450215	XB-GENE-853277	nipbl.L	NIPBL, cohesin loading factor L homeolog
GeneID:399162	XB-GENE-853419	egr1.L	early growth response 1 L homeolog
GeneID:402788	XB-GENE-853858	phox2a.S	paired like homeobox 2A S homeolog
GeneID:594869	XB-GENE-853872	fstl1.L	follistatin like 1 L homeolog
GeneID:399316	XB-GENE-853997	pou2f1.S	POU class 2 homeobox 1 S homeolog
GeneID:399360	XB-GENE-854043	celf1.L	CUGBP Elav-like family member 1 L homeolog
GeneID:496385	XB-GENE-854084	foxm1.S	forkhead box M1 S homeolog
GeneID:447448	XB-GENE-854138	rnf111.L	ring finger protein 111 L homeolog
GeneID:403369	XB-GENE-854150	klf15.S	KLF transcription factor 15 S homeolog
GeneID:379967	XB-GENE-855405	cebpa.L	CCAAT enhancer binding protein alpha L homeolog
GeneID:496081	XB-GENE-855430	btg2.S	BTG family member 2 S homeolog
GeneID:734259	XB-GENE-855448	eif4e.L	eukaryotic translation initiation factor 4E L homeolog
GeneID:398658	XB-GENE-855470	tcf7.S	transcription factor 7 S homeolog
GeneID:398003	XB-GENE-855558	ccn2.L	cellular communication network factor 2 L homeolog
GeneID:380004	XB-GENE-855659	osbpl2.L	oxysterol binding protein like 2 L homeolog
GeneID:380312	XB-GENE-855907	klc1.S	kinesin light chain 1 S homeolog
GeneID:380563	XB-GENE-855940	acads.L	acyl-CoA dehydrogenase short chain L homeolog
GeneID:380197	XB-GENE-855975	ppib.L	peptidylprolyl isomerase B L homeolog
GeneID:503670	XB-GENE-856265	pin1.S	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 S homeolog
GeneID:379625	XB-GENE-856288	bmp7.2.L	bone morphogenetic protein 7, gene 2 L homeolog
GeneID:399038	XB-GENE-856300	foxj1.L	forkhead box J1 L homeolog
GeneID:399181	XB-GENE-856303	gbx2.1.S	gastrulation brain homeobox 2, gene 1 S homeolog
GeneID:495287	XB-GENE-856365	mmp1.S	matrix metallopeptidase 1 S homeolog
